"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Beastbond Outcaster","G","U","91670","3.04","31145","3.59","178099","92.7%","56.7%","31382","59.1%","41493","58.0%","72875","58.5%","104914","55.5%","3.0pp"
"Betrayal at the Vault","G","U","141030","4.63","28552","6.20","135084","78.0%","55.3%","20139","53.8%","32104","57.9%","52243","56.3%","82560","54.6%","1.7pp"
"Bristlepack Sentry","G","C","409595","5.56","73641","7.80","341657","76.0%","55.4%","60460","55.8%","76772","54.3%","137232","55.0%","203873","55.7%","-0.7pp"
"Bristly Bill, Spine Sower","G","M","7466","1.28","6244","1.28","36830","93.6%","57.8%","6728","66.6%","8895","60.9%","15623","63.3%","21109","53.6%","9.7pp"
"Cactarantula","G","C","280739","3.77","72184","4.82","400276","90.7%","55.6%","64156","55.3%","96203","57.4%","160359","56.6%","238856","54.9%","1.7pp"
"Colossal Rattlewurm","G","R","17616","1.48","12875","1.49","75042","94.5%","56.7%","12994","60.4%","17943","61.0%","30937","60.8%","43765","53.7%","7.1pp"
"Dance of the Tumbleweeds","G","C","318463","4.20","71162","5.58","375740","86.4%","55.7%","65034","54.1%","89809","58.5%","154843","56.6%","219662","55.0%","1.7pp"
"Drover Grizzly","G","C","373815","4.92","70694","6.85","365843","84.8%","55.6%","63401","55.0%","82664","54.9%","146065","55.0%","216845","56.0%","-1.0pp"
"Freestrider Commando","G","C","383188","5.06","58462","7.40","263962","75.0%","53.7%","45188","52.7%","61899","53.2%","107087","53.0%","156884","54.2%","-1.2pp"
"Freestrider Lookout","G","R","22569","1.85","11624","1.91","64339","92.2%","54.6%","11564","56.5%","15413","55.9%","26977","56.2%","37306","53.4%","2.8pp"
"Full Steam Ahead","G","U","178588","6.49","22857","9.57","47124","34.2%","53.6%","6959","51.2%","10794","55.6%","17753","53.9%","29317","53.4%","0.6pp"
"Giant Beaver","G","C","314008","4.04","69031","5.48","389556","92.4%","55.6%","65379","55.1%","91098","55.9%","156477","55.6%","230258","55.5%","0.1pp"
"Gold Rush","G","U","173422","5.85","24111","8.61","71420","49.4%","53.3%","11367","51.2%","16372","53.6%","27739","52.7%","43532","53.6%","-1.0pp"
"Goldvein Hydra","G","M","7745","1.32","6121","1.32","35748","94.6%","56.0%","6323","56.6%","8666","61.4%","14989","59.4%","20496","53.4%","6.0pp"
