"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Another Round","W","R","81473","6.30","10028","9.62","1980","3.3%","47.2%","295","","473","","768","41.4%","1212","50.8%","-9.4pp"
"Archangel of Tithes","W","M","12611","2.11","4529","2.19","22097","81.9%","53.9%","3576","54.6%","5340","55.6%","8916","55.2%","13220","53.0%","2.2pp"
"Armored Armadillo","W","C","472614","7.88","50563","11.63","38381","12.7%","51.0%","6558","49.9%","8974","50.7%","15532","50.4%","22805","51.5%","-1.1pp"
"Aven Interrupter","W","R","30747","2.47","10812","2.71","56592","86.4%","55.6%","9743","56.5%","13434","57.7%","23177","57.2%","33384","54.5%","2.7pp"
"Bounding Felidar","W","U","122031","4.07","22395","5.49","108242","80.5%","54.6%","16338","53.6%","25200","55.4%","41538","54.7%","65366","54.4%","0.3pp"
"Bovine Intervention","W","U","171176","6.38","15633","10.10","21995","23.7%","50.6%","3405","46.3%","5332","50.7%","8737","49.0%","13228","51.6%","-2.6pp"
"Bridled Bighorn","W","C","412857","5.79","56983","8.47","225238","65.1%","54.9%","36698","53.7%","51590","54.1%","88288","53.9%","134130","55.5%","-1.5pp"
"Claim Jumper","W","R","34987","2.72","9070","3.20","46521","85.7%","54.1%","8239","53.5%","10923","54.7%","19162","54.2%","27359","54.0%","0.2pp"
"Dust Animus","W","R","17470","1.48","13160","1.48","77895","95.2%","56.8%","13829","60.0%","19529","61.8%","33358","61.0%","44587","53.7%","7.3pp"
"Eriette's Lullaby","W","C","409299","5.71","49587","8.66","158534","53.1%","53.2%","26869","50.9%","38503","54.5%","65372","53.1%","92934","53.3%","-0.2pp"
"Final Showdown","W","M","10023","1.74","6023","1.72","32088","86.6%","56.5%","5258","57.0%","8112","62.5%","13370","60.3%","18656","53.7%","6.6pp"
"Fortune, Loyal Steed","W","R","24561","2.03","11526","2.12","64759","92.2%","55.9%","11489","58.2%","15394","57.1%","26883","57.6%","36991","54.5%","3.0pp"
"Frontier Seeker","W","U","112762","3.75","28995","4.62","153530","85.8%","56.9%","27745","58.9%","34788","56.5%","62533","57.6%","90924","56.4%","1.2pp"
"Getaway Glamer","W","U","118810","3.97","31964","4.79","168595","85.4%","56.7%","27992","56.5%","41533","59.8%","69525","58.5%","98841","55.5%","3.0pp"
"High Noon","W","R","74342","5.81","8467","9.12","4049","8.0%","49.8%","644","45.0%","933","49.7%","1577","47.8%","2466","51.0%","-3.2pp"
"Holy Cow","W","C","361171","4.73","62202","6.63","320651","84.2%","55.9%","55929","56.0%","76008","57.5%","131937","56.9%","188597","55.2%","1.7pp"
"Inventive Wingsmith","W","C","468327","7.64","52086","11.23","53182","17.0%","51.7%","8956","49.9%","12736","51.2%","21692","50.7%","31487","52.3%","-1.6pp"
"Lassoed by the Law","W","U","72554","2.52","33362","2.77","193769","93.3%","57.4%","32580","58.9%","47874","62.4%","80454","61.0%","113083","54.8%","6.2pp"
"Mystical Tether","W","C","260095","3.45","71950","4.31","403616","91.9%","55.6%","68605","54.9%","98231","58.1%","166836","56.8%","236391","54.8%","2.0pp"
"Nurturing Pixie","W","U","161606","5.50","22721","7.95","72920","53.2%","54.4%","12284","53.1%","17034","55.1%","29318","54.3%","43594","54.5%","-0.2pp"
"Omenport Vigilante","W","U","142862","4.77","23823","6.61","103682","72.2%","54.6%","18262","55.9%","23471","53.4%","41733","54.5%","61957","54.6%","-0.2pp"
"One Last Job","W","R","45602","3.51","9091","4.49","36745","67.4%","54.4%","5706","51.1%","8645","56.3%","14351","54.3%","22362","54.4%","-0.2pp"
"Outlaw Medic","W","C","420874","5.93","60522","8.55","225055","61.5%","54.7%","40074","55.5%","52840","55.2%","92914","55.3%","132007","54.2%","1.1pp"
"Prairie Dog","W","U","89363","3.00","26684","3.59","145817","89.8%","55.7%","26611","58.5%","34338","55.6%","60949","56.9%","84984","54.8%","2.0pp"
"Prosperity Tycoon","W","U","122547","3.98","31229","4.98","162951","84.7%","56.6%","27143","57.0%","39105","58.2%","66248","57.7%","96735","55.8%","1.9pp"
"Requisition Raid","W","U","158460","5.50","19246","8.21","52774","45.1%","54.0%","8147","51.5%","12262","55.3%","20409","53.8%","32348","54.1%","-0.3pp"
"Rustler Rampage","W","U","183472","6.98","19541","10.60","18113","15.4%","52.9%","2707","50.7%","4109","52.8%","6816","51.9%","11290","53.4%","-1.4pp"
"Shepherd of the Clouds","W","U","76058","2.66","31823","2.97","182977","93.2%","56.6%","29645","56.4%","44959","60.9%","74604","59.1%","107943","54.8%","4.3pp"
"Sheriff of Safe Passage","W","U","156962","5.53","18054","8.24","52729","48.9%","52.8%","8928","51.5%","12137","52.7%","21065","52.2%","31684","53.2%","-1.0pp"
"Stagecoach Security","W","C","445270","6.57","59865","9.54","184141","50.6%","55.4%","28747","54.3%","43106","56.6%","71853","55.7%","112327","55.2%","0.5pp"
"Steer Clear","W","C","442392","6.57","56216","9.63","144017","42.3%","54.6%","23513","52.8%","32837","54.0%","56350","53.5%","87546","55.3%","-1.7pp"
"Sterling Keykeeper","W","C","424397","6.00","66730","8.49","285005","70.0%","55.7%","50110","55.0%","64918","55.6%","115028","55.4%","169875","55.8%","-0.5pp"
"Sterling Supplier","W","C","438102","6.42","65129","9.13","230091","57.9%","55.8%","35610","54.7%","54792","57.1%","90402","56.2%","139722","55.6%","0.6pp"
"Take Up the Shield","W","C","396022","5.42","71360","7.43","328263","74.9%","56.3%","52571","55.8%","76711","58.6%","129282","57.4%","198720","55.6%","1.8pp"
"Thunder Lasso","W","U","165324","5.92","20939","8.67","56751","44.9%","54.2%","9013","52.6%","12996","54.4%","22009","53.7%","34612","54.5%","-0.9pp"
"Trained Arynx","W","C","320571","4.35","77987","5.45","426352","88.3%","56.7%","76961","59.7%","94764","55.2%","171725","57.2%","249429","56.3%","0.9pp"
"Vengeful Townsfolk","W","C","434153","6.31","53975","9.34","172535","52.7%","54.8%","29739","54.4%","39554","54.2%","69293","54.3%","103320","55.1%","-0.8pp"
"Wanted Griffin","W","C","444317","6.55","55985","9.63","155339","45.7%","54.9%","25091","53.5%","36764","55.8%","61855","54.8%","93619","54.9%","-0.1pp"
"Archmage's Newt","U","R","52417","3.96","8826","5.43","33181","65.1%","51.2%","5730","52.4%","8895","52.0%","14625","52.2%","18399","50.4%","1.8pp"
"Canyon Crab","U","U","147669","5.04","28116","6.69","122459","74.2%","52.6%","21769","53.7%","33271","54.7%","55040","54.3%","67053","51.2%","3.2pp"
"Daring Thunder-Thief","U","C","472786","7.98","54620","11.52","57250","17.8%","49.8%","9251","48.6%","15480","51.7%","24731","50.5%","32415","49.2%","1.4pp"
"Deepmuck Desperado","U","U","139786","4.94","25347","6.51","99975","68.3%","50.9%","17682","50.0%","28114","54.0%","45796","52.4%","53971","49.5%","3.0pp"
"Djinn of Fool's Fall","U","C","459923","7.37","52151","10.83","93280","30.7%","49.3%","15029","47.5%","25303","51.6%","40332","50.1%","52839","48.6%","1.5pp"
"Double Down","U","M","19460","3.39","4827","3.70","15729","55.9%","51.0%","2694","55.0%","4244","53.6%","6938","54.2%","8668","48.2%","6.0pp"
"Duelist of the Mind","U","R","32599","2.62","12233","2.83","63835","87.2%","54.1%","11409","59.1%","17809","57.6%","29218","58.2%","34474","50.6%","7.6pp"
"Emergent Haunting","U","U","153757","5.41","25688","7.24","92219","61.5%","51.4%","16334","53.0%","25425","52.2%","41759","52.5%","50302","50.5%","2.0pp"
"Failed Fording","U","C","460450","7.32","60268","10.49","133731","37.6%","51.4%","22475","49.8%","37323","55.6%","59798","53.4%","73366","49.7%","3.7pp"
"Fblthp, Lost on the Range","U","R","45110","3.63","7929","4.58","29534","65.7%","48.3%","4939","44.9%","8267","49.2%","13206","47.6%","16227","48.7%","-1.1pp"
"Fleeting Reflection","U","U","189976","7.69","20453","11.43","10575","8.7%","47.3%","1627","44.0%","2868","50.5%","4495","48.1%","6034","46.7%","1.5pp"
"Geralf, the Fleshwright","U","M","10031","1.72","5635","1.69","29852","88.9%","53.2%","5090","55.9%","8302","57.4%","13392","56.8%","16348","50.2%","6.7pp"
"Geyser Drake","U","C","427967","6.49","51055","9.48","148314","49.9%","50.7%","25558","49.6%","40095","52.9%","65653","51.6%","82416","49.8%","1.8pp"
"Harrier Strix","U","C","460910","7.58","50769","11.07","79685","26.8%","50.1%","13703","50.2%","21199","53.8%","34902","52.4%","44589","48.2%","4.2pp"
"Jailbreak Scheme","U","C","459244","7.19","68991","10.00","185404","45.1%","53.7%","30477","52.0%","52132","58.3%","82609","56.0%","101876","51.7%","4.3pp"
"The Key to the Vault","U","R","64046","5.17","7125","8.06","6896","16.7%","45.4%","1138","40.3%","1791","45.7%","2929","43.6%","3930","46.7%","-3.1pp"
"Loan Shark","U","C","400888","5.62","60500","7.97","258331","72.5%","52.4%","42871","51.9%","72152","55.5%","115023","54.2%","142720","51.0%","3.2pp"
"Marauding Sphinx","U","U","99246","3.39","28083","3.97","144995","86.5%","54.0%","23526","55.3%","41533","59.1%","65059","57.7%","79535","50.8%","6.9pp"
"Metamorphic Blast","U","U","152408","5.19","26309","7.07","111015","70.9%","53.4%","18175","52.2%","31304","58.2%","49479","56.0%","60983","51.2%","4.8pp"
"Nimble Brigand","U","U","119059","4.03","25483","5.10","122392","82.3%","52.0%","21377","53.3%","33816","54.2%","55193","53.9%","66993","50.4%","3.5pp"
"Outlaw Stitcher","U","U","114313","3.87","26764","4.81","128602","82.5%","51.7%","20932","51.2%","35425","55.2%","56357","53.7%","71888","50.0%","3.8pp"
"Peerless Ropemaster","U","C","473868","7.99","57339","11.45","73254","21.5%","52.8%","11305","51.9%","20565","56.4%","31870","54.8%","41250","51.2%","3.6pp"
"Phantom Interference","U","C","414279","5.98","64371","8.31","256803","67.2%","53.5%","44554","54.9%","70992","57.5%","115546","56.5%","140084","50.9%","5.6pp"
"Plan the Heist","U","U","164283","5.78","27235","7.90","96811","59.4%","54.0%","15869","53.2%","27154","58.7%","43023","56.6%","53530","51.9%","4.8pp"
"Razzle-Dazzler","U","C","441848","7.06","53485","10.13","124836","40.3%","49.6%","21813","48.9%","33914","51.8%","55727","50.7%","68861","48.7%","2.0pp"
"Seize the Secrets","U","C","457439","7.24","57378","10.50","116560","34.5%","51.6%","19878","50.7%","32319","54.9%","52197","53.3%","64071","50.1%","3.2pp"
"Shackle Slinger","U","U","171690","6.41","19324","9.46","37276","33.3%","48.5%","6249","47.5%","10057","51.6%","16306","50.0%","20913","47.2%","2.9pp"
"Shifting Grift","U","U","189734","7.73","20266","11.50","7621","6.3%","46.2%","1200","42.8%","2077","47.9%","3277","46.0%","4320","46.1%","-0.0pp"
"Slickshot Lockpicker","U","U","114875","3.83","30644","4.68","155383","85.7%","53.2%","26134","50.6%","43934","58.5%","70068","55.6%","84545","51.1%","4.5pp"
"Slickshot Vault-Buster","U","C","476122","8.28","55134","11.82","50192","15.5%","48.7%","8479","46.7%","13611","50.3%","22090","48.9%","27992","48.6%","0.3pp"
"Spring Splasher","U","C","464183","7.65","56496","10.91","102058","30.9%","49.3%","17878","50.1%","26827","50.1%","44705","50.1%","57087","48.7%","1.5pp"
"Step Between Worlds","U","R","81618","6.32","10054","9.66","1886","3.2%","46.0%","292","","523","50.5%","815","47.1%","1066","45.0%","2.1pp"
"Stoic Sphinx","U","R","23518","1.97","12218","1.98","66764","90.0%","55.3%","11264","59.7%","18744","60.8%","30008","60.4%","36270","50.9%","9.5pp"
"Stop Cold","U","C","436819","6.58","54925","9.63","162338","50.3%","51.5%","26158","48.2%","45189","56.2%","71347","53.3%","90451","50.1%","3.2pp"
"Take the Fall","U","C","447956","6.89","71813","9.45","237658","55.7%","53.2%","40421","52.7%","67194","57.6%","107615","55.8%","129069","51.0%","4.7pp"
"This Town Ain't Big Enough","U","U","156553","5.36","28630","7.26","112927","67.5%","52.1%","17768","49.8%","31836","56.7%","49604","54.2%","62867","50.2%","4.0pp"
"Three Steps Ahead","U","R","32811","2.63","11233","2.87","58069","86.0%","54.0%","9512","53.8%","16630","60.9%","26142","58.3%","31580","50.3%","8.0pp"
"Visage Bandit","U","U","146651","4.96","24589","6.82","96897","67.4%","51.5%","16007","49.9%","26483","54.2%","42490","52.6%","54173","50.6%","2.0pp"
"Ambush Gigapede","B","C","436776","6.37","72508","8.88","270944","62.2%","54.3%","41024","53.6%","71201","58.3%","112225","56.6%","157972","52.7%","3.9pp"
"Binding Negotiation","B","U","165004","5.67","26407","8.02","89801","57.1%","53.3%","15487","53.8%","23409","55.4%","38896","54.8%","50693","52.2%","2.6pp"
"Blacksnag Buzzard","B","C","454179","7.00","54016","10.36","101976","31.9%","51.3%","17656","49.5%","25089","51.4%","42745","50.6%","59192","51.9%","-1.2pp"
"Blood Hustler","B","U","83457","2.84","27215","3.31","149988","92.5%","53.9%","26906","54.6%","39178","56.8%","66084","55.9%","83752","52.2%","3.7pp"
"Boneyard Desecrator","B","C","458739","7.20","53085","10.70","87244","27.7%","50.9%","13818","48.9%","21583","52.5%","35401","51.1%","51888","50.7%","0.3pp"
"Caustic Bronco","B","R","22233","1.85","13132","1.88","73458","92.5%","55.0%","13284","63.1%","18620","56.0%","31904","58.9%","41219","52.0%","6.9pp"
"Consuming Ashes","B","C","263685","3.61","78812","4.32","432295","90.7%","55.0%","70871","54.5%","114535","59.7%","185406","57.8%","245400","52.8%","4.9pp"
"Corrupted Conviction","B","C","472764","7.86","56287","11.39","61665","18.4%","52.6%","9901","51.8%","15259","52.9%","25160","52.5%","36452","52.6%","-0.1pp"
"Desert's Due","B","C","291529","3.89","84956","4.79","462173","89.7%","55.1%","80429","55.1%","120951","59.1%","201380","57.5%","259215","53.1%","4.4pp"
"Desperate Bloodseeker","B","C","359152","4.73","80003","6.28","422698","87.6%","55.0%","75235","56.7%","107323","56.9%","182558","56.8%","239572","53.5%","3.3pp"
"Fake Your Own Death","B","C","460359","7.18","62847","10.36","127455","33.9%","53.6%","20249","53.3%","31960","56.5%","52209","55.2%","75031","52.5%","2.8pp"
"Forsaken Miner","B","U","136070","4.53","22162","6.25","98086","74.4%","53.3%","17460","58.2%","23424","51.5%","40884","54.4%","57155","52.5%","1.9pp"
"Gisa, the Hellraiser","B","M","7404","1.28","6000","1.26","34696","94.4%","55.8%","5864","60.6%","9156","62.0%","15020","61.5%","19066","51.0%","10.5pp"
"Hollow Marauder","B","U","90406","3.14","36750","3.47","207494","92.0%","56.0%","33104","55.5%","54415","61.9%","87519","59.5%","118736","53.3%","6.2pp"
"Insatiable Avarice","B","R","55459","4.21","7393","6.19","19204","44.1%","51.9%","3094","48.8%","5022","56.1%","8116","53.3%","11037","50.7%","2.6pp"
"Kaervek, the Punisher","B","R","28134","2.32","10094","2.47","50970","87.2%","51.5%","8565","49.5%","13309","53.4%","21874","51.9%","28940","51.1%","0.7pp"
"Lively Dirge","B","U","153089","5.21","28098","7.06","105360","62.2%","54.6%","16849","52.6%","26966","58.7%","43815","56.4%","61214","53.3%","3.1pp"
"Mourner's Surprise","B","C","419982","5.89","79786","8.04","327332","67.9%","55.0%","52746","53.0%","83934","58.5%","136680","56.4%","189989","53.9%","2.5pp"
